leg_1,leg_2,fare,need_bu,int_id
brt,brt,4.05,FALSE,brt&brt
metro,metro,5,FALSE,metro&metro
trem,trem,4.7,FALSE,trem&trem
onibus_municipal,onibus_municipal,4.05,TRUE,onibus_municipal&onibus_municipal
onibus_municipal,brt,4.05,TRUE,onibus_municipal&brt
brt,onibus_municipal,4.05,TRUE,brt&onibus_municipal
onibus_municipal,vlt,4.05,TRUE,onibus_municipal&vlt
vlt,onibus_municipal,4.05,TRUE,vlt&onibus_municipal
onibus_municipal,onibus_metro,4.05,TRUE,onibus_municipal&onibus_metro
onibus_metro,onibus_municipal,4.05,TRUE,onibus_metro&onibus_municipal
vlt,vlt,3.8,TRUE,vlt&vlt
onibus_metro,metro,6.05,TRUE,onibus_metro&metro
metro,onibus_metro,6.05,TRUE,metro&onibus_metro
onibus_intermunicipal,onibus_municipal,8.55,TRUE,onibus_intermunicipal&onibus_municipal
onibus_municipal,onibus_intermunicipal,8.55,TRUE,onibus_municipal&onibus_intermunicipal
onibus_intermunicipal,barca,8.55,TRUE,onibus_intermunicipal&barca
barca,onibus_intermunicipal,8.55,TRUE,barca&onibus_intermunicipal
brt,metro,7.1,TRUE,brt&metro
metro,brt,7.1,TRUE,metro&brt
trem,metro,8.55,TRUE,trem&metro
metro,trem,8.55,TRUE,metro&trem
vlt,onibus_intermunicipal,8.55,TRUE,vlt&onibus_intermunicipal
onibus_intermunicipal,vlt,8.55,TRUE,onibus_intermunicipal&vlt
vlt,barca,8.55,TRUE,vlt&barca
barca,vlt,8.55,TRUE,barca&vlt
onibus_intermunicipal,metro,8.55,TRUE,onibus_intermunicipal&metro
metro,onibus_intermunicipal,8.55,TRUE,metro&onibus_intermunicipal
onibus_intermunicipal,trem,8.55,TRUE,onibus_intermunicipal&trem
trem,onibus_intermunicipal,8.55,TRUE,trem&onibus_intermunicipal
