route_id,route_short_name,route_long_name,fare_id,price,type,price_bu
12862263,436,Grajaú - Leblon (via Túnel Rebouças) (Circular),32069624,4.05,onibus_municipal,4.05
37308999,553,Integrada 08 - Rio Sul - Recreio (via Av. Atlântica/Lagoa Barra/Av. das Américas),32069624,4.05,onibus_municipal,4.05
12861282,696,Praia do Dendê - Méier,32069624,4.05,onibus_municipal,4.05
12864875,277,Rocha Miranda - Candelária (via São Cristóvão),32069624,4.05,onibus_municipal,4.05
33083160,BRT 22,Alvorada - Jardim Oceânico,34127393,4.05,brt,4.05
12862094,334,Cordovil - INTO (via Praça das Nações) (Circular),32069624,4.05,onibus_municipal,4.05
12862106,351,Irajá - Candelária (Rápido),32069624,4.05,onibus_municipal,4.05
48640656,LECD 23,Freguesia - Madureira (via Cascadura) (Circular),32069624,4.05,onibus_municipal,4.05
41851267,789,Campo Grande - Cascadura,32069624,4.05,onibus_municipal,4.05
12860095,920,Pavuna - Bonsucesso (via Fazenda Botafogo),32069624,4.05,onibus_municipal,4.05
12864879,329,Bancários - Candelária (via Praia da Rosa),32069624,4.05,onibus_municipal,4.05
12863192,669,Pavuna - Méier,32069624,4.05,onibus_municipal,4.05
31151412,810,Pontal - Taquara,34127545,4.05,onibus_municipal,4.05
12865852,847,Rio da Prata - Campo Grande (via Estrada do Lameirão),32069624,4.05,onibus_municipal,4.05
33643366,817A,Terminal Recreio - Vargem Grande (via Alceu de Carvalho/Av. Gláucio Gil),34127545,4.05,onibus_municipal,4.05
12864160,830,Campo Grande - Distrito Industrial (Circular),32069624,4.05,onibus_municipal,4.05
31180065,963A,Santa Maria - Taquara,34127545,4.05,onibus_municipal,4.05
31168297,800A,Terminal Centro Olímpico - Taquara (via Estr. do Guerenguê / Av. Olof Palme),34127545,4.05,onibus_municipal,4.05
12861152,463,São Cristóvão - Copacabana (via Túnel Rebouças/Túnel Velho) (Circular),32069624,4.05,onibus_municipal,4.05
12866621,743,Barata - Bangu (via Estrada da Água Branca) (Circular),32069624,4.05,onibus_municipal,4.05
12863136,455,Méier - Copacabana (via Parque do Flamengo),32069624,4.05,onibus_municipal,4.05
12863277,498,Circular da Penha - Largo do Machado (via Túnel Santa Bárbara),32069624,4.05,onibus_municipal,4.05
12865027,950,Vicente Carvalho - Vista Alegre (via Av. Meriti),32069624,4.05,onibus_municipal,4.05
