version;release_date;download_path
4.9.0;20200815;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0.jar
4.9.0;20200818;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200818.jar
4.9.0;20200819;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200819.jar
4.9.0;20200821;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200821.jar
4.9.0;20200822;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200822.jar
4.9.0;20200824;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200824.jar
4.9.0;20200825;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200825.jar
4.9.0;20200826;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200826.jar
4.9.0;20200831;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200831.jar
4.9.0;20200914;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200914.jar
4.9.0;20200929;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20200929.jar
4.9.0;20201030;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20201030.jar
4.9.0;20201112;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5r_v4.9.0_20201112.jar
6.0.0;20201101;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.0.0-6-g106eecf-all.jar
6.0.1;20201102;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.0.1-2-gf44e585-all.jar
6.2.0;20210408;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.2-all_20210408.jar
6.4.0;20210715;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.4-all_20210715.jar
6.4.0;20210820;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.4-all_20210820.jar
6.4.0;20211021;https://www.ipea.gov.br/geobr/r5r/jar_repo/r5-v6.4-all_20211021.jar
6.4.0;20220211;https://github.com/ipeaGIT/r5/releases/download/v6.4/r5-v6.4-all.jar
