"","id","lon","lat","population","schools","jobs","healthcare"
"1","89a901291abffff",-51.1582459466033,-30.0538460280879,0,0,1214,0
"2","89a9012a3cfffff",-51.2118666785315,-30.1005760100267,159,0,0,0
"3","89a901295b7ffff",-51.1652063850268,-30.0754421294718,1008,0,3,1
"4","89a901284a3ffff",-51.205354294738,-30.0900457912324,92,0,0,0
"5","89a9012809bffff",-51.1957537221891,-30.0783872921785,577,0,9,0
"6","89a901285cfffff",-51.2110818953561,-30.0812378652775,1170,0,427,0
"7","89a90e934d7ffff",-51.1470789052615,-30.0034478178153,1615,1,94,0
"8","89a90129b47ffff",-51.1652730059862,-30.0019010778129,142,0,403,0
"9","89a90128a1bffff",-51.2117029901069,-30.021544248826,487,1,603,0
"10","89a90129977ffff",-51.1928406855021,-30.0064977040653,82,0,604,0
"11","89a90128e27ffff",-51.2242774541083,-30.0315722440491,2479,0,1591,0
"12","89a9012a2a3ffff",-51.2061390072645,-30.109379435479,0,0,0,0
"13","89a9012b3b7ffff",-51.1659896574663,-30.0947851050226,0,0,0,0
"14","89a901281dbffff",-51.2074334641189,-30.066299134954,1195,0,47,0
"15","89a90e9341bffff",-51.1468552796186,-29.9979114784123,1190,0,426,0
"16","89a901290b7ffff",-51.1435853839709,-30.0675710875353,807,0,41,0
"17","89a90128363ffff",-51.1913212311583,-30.0440962001926,979,0,243,0
"18","89a9012a39bffff",-51.2181545555919,-30.1055833069944,250,0,0,0
"19","89a901280cfffff",-51.1894654535818,-30.0733788944314,685,0,5,0
"20","89a9012a237ffff",-51.2059147728115,-30.1038568327554,27,0,0,0
"21","89a90129a03ffff",-51.1506148895906,-30.0156405424882,502,0,20,0
"22","89a90129907ffff",-51.196040685191,-30.0103915927284,505,1,460,0
"23","89a90e9244bffff",-51.2016556037074,-29.998809090912,187,0,563,0
"24","89a90129a73ffff",-51.1474145515327,-30.0117500609926,1555,0,658,0
"25","89a90128ad7ffff",-51.2119273506676,-30.0270759346969,1381,0,105,0
"26","89a9012b133ffff",-51.1813205012358,-30.0976391340604,35,0,9,0
"27","89a90129157ffff",-51.1461151796355,-30.0548753240777,804,0,69,0
"28","89a9012852bffff",-51.2197846696673,-30.0707913100726,1622,0,4,1
"29","89a901286dbffff",-51.1657660628833,-30.0892579020896,0,0,0,0
"30","89a9012a32bffff",-51.2205697628831,-30.0901339400088,738,0,119,0
"31","89a90128c6bffff",-51.2306765673225,-30.0393493457984,7,0,0,0
"32","89a9012834bffff",-51.1823930431651,-30.0490182243652,611,0,2,0
"33","89a9012b383ffff",-51.1570592356543,-30.099705388909,10,0,0,0
"34","89a90128187ffff",-51.2225356838554,-30.0636212414869,199,0,2,0
"35","89a9012a163ffff",-51.2361204769094,-30.0985041636885,687,0,204,0
