id,lat,lon
public_market,-30.027565,-51.227811
bus_central_station,-30.023285,-51.218856
gasometer_museum,-30.034038,-51.240947
santa_casa_hospital,-30.030426,-51.222396
townhall,-30.028004,-51.22865
piratini_palace,-30.033625,-51.230681
metropolitan_cathedral,-30.033707,-51.230028
farroupilha_park,-30.036746,-51.216111
moinhos_de_vento_hospital,-30.024909,-51.208565
farrapos_station,-29.997721,-51.197618
iguatemi_shopping_center,-30.026512,-51.162409
praia_de_belas_shopping_center,-30.049951,-51.228752
beira_rio_stadium,-30.06494,-51.236591
ufrgs,-30.033402,-51.220278
pucrs,-30.057972,-51.176073
