id,lon,lat,population,schools,jobs
89a8100c603ffff,-46.6079746773408,-23.5710980272876,1146,0,1155
89a8100c617ffff,-46.6110766030175,-23.5724900009772,700,1,463
89a8100c60fffff,-46.607884390391,-23.5680319362552,377,0,257
89a8100c607ffff,-46.6109863014463,-23.5694239761506,743,0,687
89a8100c6abffff,-46.6140882002316,-23.5708159194855,601,0,29
89a8100c6a3ffff,-46.6171900867289,-23.5722077662522,1097,1,338
89a8100c677ffff,-46.6077941043028,-23.5649657312752,29,0,2701
89a8100c63bffff,-46.6108960007368,-23.5663578373717,774,0,195
89a8100c633ffff,-46.6139978849014,-23.567749846916,674,0,473
89a8100c6afffff,-46.6170997567787,-23.5691417599002,300,0,63
89a8100c6a7ffff,-46.6202016163505,-23.5705335763164,2389,0,312
89a8100c46bffff,-46.6233034635987,-23.5719252961567,1206,0,800
89a8100c667ffff,-46.6077038190762,-23.5618994123588,6,0,0
89a8100c62bffff,-46.6108057008889,-23.5632915846519,3,0,439
89a8100c623ffff,-46.6139075704331,-23.564683660401,124,1,604
89a8100c637ffff,-46.6170094276904,-23.5660756395982,1140,0,547
89a8100c0dbffff,-46.620111272643,-23.5674675222356,1052,0,281
89a8100c0d3ffff,-46.6232131052726,-23.5688593083052,1240,2,377
89a8100c46fffff,-46.6263149255612,-23.5702509977993,3954,0,342
89a8100c467ffff,-46.6294167334906,-23.5716425907097,973,0,444
89a8100c29bffff,-46.6076135347111,-23.5588329795171,10,0,225
89a8100c293ffff,-46.6107154019028,-23.5602252180022,0,0,367
89a8100c62fffff,-46.6138172568265,-23.5616173599516,123,0,691
89a8100c627ffff,-46.6169190994641,-23.5630094053573,1096,0,816
89a8100c0cbffff,-46.6200209297975,-23.5644013542114,2103,0,1024
89a8100c0c3ffff,-46.6231227478087,-23.5657932065059,1576,0,2173
89a8100c0d7ffff,-46.6262245534794,-23.5671849622329,1792,0,647
89a8100c09bffff,-46.6293263467916,-23.5685766213846,2542,0,248
89a8100c093ffff,-46.6324281277272,-23.5699681839531,2533,0,1001
89a8100c42fffff,-46.6355298962681,-23.5713596499304,2033,0,502
89a8100c28bffff,-46.6075232512075,-23.5557664327614,706,0,763
89a8100c283ffff,-46.6106251037782,-23.5571587374341,159,0,1279
89a8100c297ffff,-46.6137269440816,-23.5585509455792,526,0,243
89a8100c05bffff,-46.6168287720996,-23.5599430571888,440,0,998
89a8100c053ffff,-46.6199305878141,-23.561335072255,1425,0,712
89a8100c0cfffff,-46.6230323912068,-23.5627269907698,1561,0,301
89a8100c0c7ffff,-46.6261341822599,-23.5641188127254,1782,0,237
89a8100c08bffff,-46.629235960955,-23.5655105381138,2515,1,292
89a8100c083ffff,-46.6323377272742,-23.5669021669271,3897,0,497
89a8100c097ffff,-46.6354394811993,-23.5682936991575,4562,0,2223
89a8100c55bffff,-46.6385412227123,-23.569685134797,2781,0,3016
89a8100c553ffff,-46.6416429517949,-23.5710764738377,1258,0,1395
89a8100c213ffff,-46.6074329685654,-23.5526997721031,370,0,444
89a8100c28fffff,-46.6105348065153,-23.5540921429587,244,0,196
89a8100c287ffff,-46.6136366321986,-23.555484417295,1102,1,326
89a8100c04bffff,-46.616738445597,-23.5568765951039,747,0,542
89a8100c043ffff,-46.6198402466926,-23.5582686763777,2113,0,277
89a8100c057ffff,-46.6229420354671,-23.5596606611083,3086,0,795
89a8100c01bffff,-46.6260438119026,-23.5610525492879,1405,0,290
89a8100c013ffff,-46.6291455759808,-23.5624443409084,2611,0,304
89a8100c08fffff,-46.6322473276837,-23.5638360359621,4340,0,1259
89a8100c087ffff,-46.6353490669932,-23.5652276344411,951,0,1707
89a8100c54bffff,-46.6384507938911,-23.5666191363373,3005,1,3991
89a8100c543ffff,-46.6415525083594,-23.5680105416429,951,0,11122
89a8100c557ffff,-46.6446542103799,-23.5694018503501,602,1,10937
89a8100c51bffff,-46.6477558999346,-23.5707930624508,4054,0,5992
89a8100c203ffff,-46.6073426867848,-23.5496329975532,741,0,1525
89a8100c217ffff,-46.6104445101141,-23.5510254345873,770,0,787
89a8100c2bbffff,-46.6135463211772,-23.5524177751102,181,0,706
89a8100c2b3ffff,-46.6166481199563,-23.553810019114,979,0,1017
89a8100c04fffff,-46.6197499064331,-23.5552021665907,1012,0,369
89a8100c047ffff,-46.6228516805895,-23.5565942175326,622,0,95
89a8100c00bffff,-46.6259534424075,-23.5579861719316,1139,1,361
89a8100c003ffff,-46.6290551918689,-23.5593780297798,756,0,471
89a8100c017ffff,-46.6321569289557,-23.5607697910693,2702,0,431
89a8100c0bbffff,-46.6352586536496,-23.5621614557922,1649,1,1469
89a8100c0b3ffff,-46.6383603659327,-23.5635530239407,2393,0,2251
89a8100c54fffff,-46.6414620657867,-23.5649444955067,1925,0,2482
89a8100c547ffff,-46.6445637531937,-23.5663358704824,2888,0,2466
89a8100c50bffff,-46.6476654281354,-23.56772714886,1991,0,5353
89a8100c503ffff,-46.6507670905939,-23.5691183306314,2068,0,7163
89a8100c517ffff,-46.6538687405509,-23.5705094157889,4130,0,1016
89a8100c20fffff,-46.6072524058657,-23.5465661091231,1758,0,253
89a8100c207ffff,-46.6103542145744,-23.547958612331,2635,0,378
89a8100c2abffff,-46.6134560110177,-23.549351019036,719,0,521
89a8100c2a3ffff,-46.6165577951774,-23.5507433292301,471,0,1022
89a8100c2b7ffff,-46.6196595670356,-23.5521355429054,593,0,811
89a8100c07bffff,-46.622761326574,-23.5535276600539,2156,2,1032
89a8100c073ffff,-46.6258630737747,-23.5549196806678,141,0,684
89a8100c00fffff,-46.6289648086194,-23.5563116047391,3648,0,153
89a8100c007ffff,-46.6320665310901,-23.5577034322599,3936,0,551
89a8100c0abffff,-46.6351682411686,-23.5590951632223,2069,0,2868
89a8100c0a3ffff,-46.6382699388369,-23.5604867976184,758,0,1683
89a8100c0b7ffff,-46.6413716240769,-23.5618783354403,2414,0,596
89a8100c57bffff,-46.6444732968704,-23.5632697766801,2204,1,1375
89a8100c573ffff,-46.6475749571993,-23.5646611213299,2391,0,3845
89a8100c50fffff,-46.6506766050456,-23.5660523693817,2024,0,17682
89a8100c507ffff,-46.6537782403912,-23.5674435208278,4232,0,2524
89a8100c5abffff,-46.6568798632178,-23.5688345756602,3802,0,2813
89a8100c5a3ffff,-46.6599814735075,-23.570225533871,1802,0,2436
89a8100c277ffff,-46.6071621258081,-23.543499106824,1086,1,659
89a8100c23bffff,-46.6102639198963,-23.5448916762013,1025,0,417
89a8100c233ffff,-46.6133657017198,-23.5462841490838,1142,0,89
89a8100c2afffff,-46.6164674712604,-23.5476765254636,535,2,249
89a8100c2a7ffff,-46.6195692285,-23.5490688053328,1798,0,233
89a8100c06bffff,-46.6226709734206,-23.5504609886835,3031,0,1411
89a8100c063ffff,-46.6257727060041,-23.5518530755077,454,0,858
89a8100c077ffff,-46.6288744262322,-23.5532450657976,6514,1,1124
89a8100c03bffff,-46.631976134087,-23.5546369595451,3670,0,7112
89a8100c033ffff,-46.6350778295502,-23.5560287567425,893,0,3298
89a8100c0afffff,-46.6381795126039,-23.5574204573817,2185,0,1098
89a8100c0a7ffff,-46.6412811832299,-23.5588120614549,2353,0,1066
89a8100c56bffff,-46.64438284141,-23.5602035689542,2839,0,2926
89a8100c563ffff,-46.6474844871263,-23.5615949798717,3999,0,1183
89a8100c577ffff,-46.6505861203606,-23.5629862941995,2237,0,642
89a8100c53bffff,-46.6536877410947,-23.5643775119296,1137,0,13055
89a8100c533ffff,-46.6567893493106,-23.5657686330543,3041,0,1205
